,Sightings,NumSurveys,Butterflies_per_Survey,Order,Trend,Seasonal,Residuals
2001-01-01,0.0,0.0,0.0,0,,-7.321386604532164,
2001-02-01,0.0,0.0,0.0,1,,-7.327163797514621,
2001-03-01,0.0,0.0,0.0,2,,-5.184103051900585,
2001-04-01,111.0,13.0,8.5385,3,,2.544829623538012,
2001-05-01,262.0,22.0,11.9091,4,,3.2843927814327487,
2001-06-01,84.0,15.0,5.6,5,,4.415266465643274,
2001-07-01,584.0,24.0,24.3333,6,6.272975000000001,19.469933570906434,-1.4096085709064354
2001-08-01,309.0,19.0,16.2632,7,6.272975000000001,9.969649360380119,0.020575639619881514
2001-09-01,164.0,19.0,8.6316,8,6.272975000000001,1.090366904239766,1.268258095760234
2001-10-01,0.0,0.0,0.0,9,6.508349999999999,-6.36395831505848,-0.14439168494151922
2001-11-01,0.0,0.0,0.0,10,6.762004166666666,-7.283924981725146,0.52192081505848
2001-12-01,0.0,0.0,0.0,11,7.102504166666667,-7.293901955409357,0.1913977887426901
2002-01-01,0.0,0.0,0.0,12,7.5150041666666665,-7.321386604532164,-0.1936175621345022
2002-02-01,0.0,0.0,0.0,13,7.738254166666666,-7.327163797514621,-0.41109036915204467
2002-03-01,0.0,0.0,0.0,14,7.840008333333332,-5.184103051900585,-2.655905281432747
2002-04-01,227.0,16.0,14.1875,15,7.808791666666666,2.544829623538012,3.833878709795322
2002-05-01,284.0,23.0,12.3478,16,7.808791666666666,3.2843927814327487,1.2546155519005846
2002-06-01,200.0,15.0,13.3333,17,7.808791666666666,4.415266465643274,1.1092418676900593
2002-07-01,530.0,20.0,26.5,18,7.808791666666666,19.469933570906434,-0.7787252375730986
2002-08-01,428.0,22.0,19.4545,19,7.808791666666666,9.969649360380119,1.6760589729532143
2002-09-01,134.0,17.0,7.8824,20,8.100458333333332,1.090366904239766,-1.3084252375730985
2002-10-01,0.0,0.0,0.0,21,8.1486375,-6.36395831505848,-1.7846791849415196
2002-11-01,0.0,0.0,0.0,22,7.787879166666665,-7.283924981725146,-0.5039541849415183
2002-12-01,0.0,0.0,0.0,23,7.963862499999999,-7.293901955409357,-0.6699605445906425
2003-01-01,0.0,0.0,0.0,24,8.621995833333333,-7.321386604532164,-1.3006092288011688
2003-02-01,0.0,0.0,0.0,25,9.144470833333333,-7.327163797514621,-1.817307035818712
2003-03-01,7.0,1.0,7.0,26,9.482750000000001,-5.184103051900585,2.7013530519005835
2003-04-01,267.0,32.0,8.3438,27,9.871766666666668,2.544829623538012,-4.07279629020468
2003-05-01,286.0,30.0,9.5333,28,10.0801,3.2843927814327487,-3.831192781432748
2003-06-01,713.0,35.0,20.3714,29,10.0801,4.415266465643274,5.876033534356727
2003-07-01,1234.0,35.0,35.2571,30,10.0801,19.469933570906434,5.707066429093565
2003-08-01,883.0,38.0,23.2368,31,10.0801,9.969649360380119,3.18705063961988
2003-09-01,391.0,32.0,12.2188,32,9.788433333333334,1.090366904239766,1.3399997624269002
2003-10-01,5.0,1.0,5.0,33,9.572720833333335,-6.36395831505848,1.7912374817251449
2003-11-01,0.0,0.0,0.0,34,9.736104166666667,-7.283924981725146,-2.452179184941521
2003-12-01,0.0,0.0,0.0,35,9.518995833333333,-7.293901955409357,-2.2250938779239764
2004-01-01,0.0,0.0,0.0,36,9.287079166666667,-7.321386604532164,-1.9656925621345023
2004-02-01,0.0,0.0,0.0,37,9.334208333333333,-7.327163797514621,-2.0070445358187117
2004-03-01,0.0,0.0,0.0,38,9.196820833333334,-5.184103051900585,-4.012717781432749
2004-04-01,122.0,12.0,10.1667,39,9.001591666666666,2.544829623538012,-1.3797212902046776
2004-05-01,221.0,19.0,11.6316,40,8.918258333333332,3.2843927814327487,-0.5710511147660804
2004-06-01,209.0,16.0,13.0625,41,8.918258333333332,4.415266465643274,-0.27102479897660636
2004-07-01,518.0,14.0,37.0,42,8.918258333333332,19.469933570906434,8.611808095760232
2004-08-01,362.0,16.0,22.625,43,8.918258333333332,9.969649360380119,3.7370923062865486
2004-09-01,143.0,15.0,9.5333,44,8.918258333333332,1.090366904239766,-0.47532523757309764
2004-10-01,3.0,1.0,3.0,45,8.896608333333333,-6.36395831505848,0.46734998172514697
2004-11-01,0.0,0.0,0.0,46,8.922054166666667,-7.283924981725146,-1.638129184941521
2004-12-01,0.0,0.0,0.0,47,9.049879166666667,-7.293901955409357,-1.75597721125731
2005-01-01,0.0,0.0,0.0,48,8.775216666666667,-7.321386604532164,-1.4538300621345028
2005-02-01,0.0,0.0,0.0,49,8.2653125,-7.327163797514621,-0.9381487024853792
2005-03-01,0.0,0.0,0.0,50,8.0789625,-5.184103051900585,-2.8948594480994148
2005-04-01,164.0,17.0,9.6471,51,7.922124999999999,2.544829623538012,-0.8198546235380113
2005-05-01,268.0,21.0,12.7619,52,7.797124999999999,3.2843927814327487,1.6803822185672526
2005-06-01,270.0,18.0,15.0,53,7.797124999999999,4.415266465643274,2.7876085343567265
2005-07-01,484.0,17.0,28.4706,54,7.797124999999999,19.469933570906434,1.203541429093569
2005-08-01,454.0,24.0,18.9167,55,7.797124999999999,9.969649360380119,1.1499256396198803
2005-09-01,114.0,13.0,8.7692,56,7.797124999999999,1.090366904239766,-0.11829190423976566
2005-10-01,0.0,0.0,0.0,57,7.753116666666666,-6.36395831505848,-1.3891583516081862
2005-11-01,0.0,0.0,0.0,58,7.823195833333332,-7.283924981725146,-0.5392708516081859
2005-12-01,0.0,0.0,0.0,59,7.748483333333332,-7.293901955409357,-0.4545813779239749
2006-01-01,0.0,0.0,0.0,60,7.766266666666666,-7.321386604532164,-0.4448800621345015
2006-02-01,0.0,0.0,0.0,61,7.809654166666666,-7.327163797514621,-0.48249036915204524
2006-03-01,0.0,0.0,0.0,62,7.632037499999999,-5.184103051900585,-2.4479344480994145
2006-04-01,189.0,22.0,8.5909,63,7.617616666666667,2.544829623538012,-1.571546290204679
2006-05-01,465.0,30.0,15.5,64,7.617616666666667,3.2843927814327487,4.597990551900585
2006-06-01,335.0,32.0,10.4688,65,7.617616666666667,4.415266465643274,-1.564083132309941
2006-07-01,1170.0,35.0,33.4286,66,7.617616666666667,19.469933570906434,6.341049762426902
2006-08-01,450.0,30.0,15.0,67,7.617616666666667,9.969649360380119,-2.5872660270467858
2006-09-01,219.0,26.0,8.4231,68,7.617616666666667,1.090366904239766,-0.2848835709064328
2006-10-01,0.0,0.0,0.0,69,7.804204166666667,-6.36395831505848,-1.4402458516081866
2006-11-01,0.0,0.0,0.0,70,7.737504166666666,-7.283924981725146,-0.4535791849415194
2006-12-01,0.0,0.0,0.0,71,7.586995833333333,-7.293901955409357,-0.293093877923976
2007-01-01,0.0,0.0,0.0,72,7.427291666666666,-7.321386604532164,-0.1059050621345019
2007-02-01,0.0,0.0,0.0,73,7.187245833333333,-7.327163797514621,0.1399179641812882
2007-03-01,0.0,0.0,0.0,74,7.155595833333333,-5.184103051900585,-1.9714927814327483
2007-04-01,379.0,29.0,13.069,75,7.101508333333332,2.544829623538012,3.4226620431286565
2007-05-01,179.0,19.0,9.4211,76,7.101508333333332,3.2843927814327487,-0.964801114766082
2007-06-01,401.0,31.0,12.9355,77,7.101508333333332,4.415266465643274,1.4187252010233928
2007-07-01,841.0,31.0,27.129,78,7.101508333333332,19.469933570906434,0.5575580957602355
2007-08-01,404.0,26.0,15.5385,79,7.101508333333332,9.969649360380119,-1.5326576937134515
2007-09-01,171.0,24.0,7.125,80,7.143174999999999,1.090366904239766,-1.1085419042397653
2007-10-01,0.0,0.0,0.0,81,6.944645833333333,-6.36395831505848,-0.5806875182748534
2007-11-01,0.0,0.0,0.0,82,6.723520833333333,-7.283924981725146,0.5604041483918136
2007-12-01,0.0,0.0,0.0,83,6.532558333333332,-7.293901955409357,0.7613436220760246
2008-01-01,0.0,0.0,0.0,84,6.23855,-7.321386604532164,1.0828366045321642
2008-02-01,0.0,0.0,0.0,85,6.2727625,-7.327163797514621,1.0544012975146213
2008-03-01,1.0,1.0,1.0,86,6.434983333333333,-5.184103051900585,-0.25088028143274865
2008-04-01,168.0,23.0,7.3043,87,6.479016666666666,2.544829623538012,-1.7195462902046788
2008-05-01,326.0,33.0,9.8788,88,6.479016666666666,3.2843927814327487,0.11539055190058489
2008-06-01,300.0,38.0,7.8947,89,6.479016666666666,4.415266465643274,-2.9995831323099402
2008-07-01,1105.0,44.0,25.1136,90,6.479016666666666,19.469933570906434,-0.835350237573099
2008-08-01,588.0,32.0,18.375,91,6.479016666666666,9.969649360380119,1.9263339729532145
2008-09-01,270.0,33.0,8.1818,92,6.43735,1.090366904239766,0.6540830957602346
2008-10-01,0.0,0.0,0.0,93,6.656029166666666,-6.36395831505848,-0.29207085160818647
2008-11-01,0.0,0.0,0.0,94,7.099666666666667,-7.283924981725146,0.18425831505847956
2008-12-01,0.0,0.0,0.0,95,7.604745833333332,-7.293901955409357,-0.3108438779239755
2009-01-01,0.0,0.0,0.0,96,8.001258333333332,-7.321386604532164,-0.6798717288011682
2009-02-01,0.0,0.0,0.0,97,8.138483333333332,-7.327163797514621,-0.8113195358187104
2009-03-01,0.0,0.0,0.0,98,8.199916666666667,-5.184103051900585,-3.015813614766082
2009-04-01,515.0,38.0,13.5526,99,8.19885,2.544829623538012,2.808920376461988
2009-05-01,514.0,36.0,14.2778,100,8.19885,3.2843927814327487,2.7945572185672503
2009-06-01,531.0,34.0,15.6176,101,8.19885,4.415266465643274,3.003483534356725
2009-07-01,1157.0,43.0,26.907,102,8.19885,19.469933570906434,-0.7617835709064344
2009-08-01,795.0,40.0,19.875,103,8.19885,9.969649360380119,1.7065006396198807
2009-09-01,261.0,32.0,8.1562,104,8.282183333333334,1.090366904239766,-1.2163502375731
2009-10-01,0.0,0.0,0.0,105,8.1743875,-6.36395831505848,-1.81042918494152
2009-11-01,0.0,0.0,0.0,106,7.774462499999999,-7.283924981725146,-0.49053751827485303
2009-12-01,0.0,0.0,0.0,107,7.2771124999999985,-7.293901955409357,0.01678945540935839
2010-01-01,0.0,0.0,0.0,108,6.7632666666666665,-7.321386604532164,0.5581199378654977
2010-02-01,0.0,0.0,0.0,109,6.349104166666666,-7.327163797514621,0.9780596308479552
2010-03-01,2.0,1.0,2.0,110,6.102649999999999,-5.184103051900585,1.0814530519005858
2010-04-01,260.0,29.0,8.9655,111,6.045066666666666,2.544829623538012,0.3756037097953224
2010-05-01,278.0,30.0,9.2667,112,6.045066666666666,3.2843927814327487,-0.0627594480994147
2010-06-01,339.0,39.0,8.6923,113,6.045066666666666,4.415266465643274,-1.7680331323099407
2010-07-01,989.0,46.0,21.5,114,6.045066666666666,19.469933570906434,-4.015000237573101
2010-08-01,583.0,38.0,15.3421,115,6.045066666666666,9.969649360380119,-0.672616027046784
2010-09-01,210.0,31.0,6.7742,116,5.961733333333333,1.090366904239766,-0.27790023757309856
2010-10-01,0.0,0.0,0.0,117,6.0660375,-6.36395831505848,0.2979208150584798
2010-11-01,0.0,0.0,0.0,118,6.2870083333333335,-7.283924981725146,0.9969166483918128
2010-12-01,0.0,0.0,0.0,119,6.443837499999999,-7.293901955409357,0.8500644554093579
2011-01-01,0.0,0.0,0.0,120,6.632883333333333,-7.321386604532164,0.6885032711988313
2011-02-01,0.0,0.0,0.0,121,6.597058333333333,-7.327163797514621,0.7301054641812881
2011-03-01,0.0,0.0,0.0,122,6.528741666666667,-5.184103051900585,-1.3446386147660823
2011-04-01,431.0,32.0,13.4688,123,6.5618,2.544829623538012,4.362170376461988
2011-05-01,302.0,30.0,10.0667,124,6.5618,3.2843927814327487,0.2205072185672523
2011-06-01,373.0,32.0,11.6562,125,6.5618,4.415266465643274,0.6791335343567262
2011-07-01,946.0,41.0,23.0732,126,6.5618,19.469933570906434,-2.9585335709064324
2011-08-01,426.0,33.0,12.9091,127,6.5618,9.969649360380119,-3.6223493603801185
2011-09-01,280.0,37.0,7.5676,128,6.770133333333333,1.090366904239766,-0.29290023757309913
2011-10-01,0.0,0.0,0.0,129,6.712720833333333,-6.36395831505848,-0.34876251827485305
2011-11-01,0.0,0.0,0.0,130,6.389508333333333,-7.283924981725146,0.8944166483918137
2011-12-01,0.0,0.0,0.0,131,6.0894208333333335,-7.293901955409357,1.2044811220760234
2012-01-01,0.0,0.0,0.0,132,5.6807583333333325,-7.321386604532164,1.6406282711988318
2012-02-01,0.0,0.0,0.0,133,5.668504166666667,-7.327163797514621,1.6586596308479544
2012-03-01,10.0,2.0,5.0,134,5.923641666666667,-5.184103051900585,4.260461385233918
2012-04-01,156.0,22.0,7.0909,135,6.024991666666667,2.544829623538012,-1.4789212902046782
2012-05-01,278.0,32.0,8.6875,136,6.024991666666667,3.2843927814327487,-0.6218844480994155
2012-06-01,175.0,30.0,5.8333,137,6.024991666666667,4.415266465643274,-4.6069581323099404
2012-07-01,649.0,34.0,19.0882,138,6.024991666666667,19.469933570906434,-6.4067252375731005
2012-08-01,581.0,35.0,16.6,139,6.024991666666667,9.969649360380119,0.6053589729532156
2012-09-01,310.0,31.0,10.0,140,5.816658333333333,1.090366904239766,3.092974762426901
2012-10-01,0.0,0.0,0.0,141,5.59065,-6.36395831505848,0.7733083150584799
2012-11-01,0.0,0.0,0.0,142,5.623320833333333,-7.283924981725146,1.6606041483918137
2012-12-01,0.0,0.0,0.0,143,5.755966666666668,-7.293901955409357,1.5379352887426894
2013-01-01,0.0,0.0,0.0,144,5.933649999999999,-7.321386604532164,1.387736604532165
2013-02-01,0.0,0.0,0.0,145,6.208058333333333,-7.327163797514621,1.1191054641812883
2013-03-01,0.0,0.0,0.0,146,6.3206750000000005,-5.184103051900585,-1.1365719480994159
2013-04-01,220.0,33.0,6.6667,147,6.254266666666666,2.544829623538012,-2.1323962902046785
2013-05-01,475.0,48.0,9.8958,148,6.254266666666666,3.2843927814327487,0.3571405519005846
2013-06-01,367.0,47.0,7.8085,149,6.254266666666666,4.415266465643274,-2.86103313230994
2013-07-01,1133.0,53.0,21.3774,150,6.254266666666666,19.469933570906434,-4.346800237573099
2013-08-01,1212.0,58.0,20.8966,151,6.254266666666666,9.969649360380119,4.672683972953214
2013-09-01,269.0,32.0,8.4062,152,6.351487499999999,1.090366904239766,0.9643455957602349
2013-10-01,0.0,0.0,0.0,153,6.58665,-6.36395831505848,-0.2226916849415197
2013-11-01,0.0,0.0,0.0,154,6.685129166666666,-7.283924981725146,0.5987958150584802
2013-12-01,0.0,0.0,0.0,155,6.747395833333333,-7.293901955409357,0.5465061220760239
2014-01-01,0.0,0.0,0.0,156,6.996208333333333,-7.321386604532164,0.3251782711988316
2014-02-01,0.0,0.0,0.0,157,6.818141666666666,-7.327163797514621,0.5090221308479554
2014-03-01,7.0,3.0,2.3333,158,6.471437499999999,-5.184103051900585,1.0459655519005855
2014-04-01,439.0,44.0,9.9773,159,6.574883333333332,2.544829623538012,0.8575870431286554
2014-05-01,349.0,39.0,8.9487,160,6.699883333333332,3.2843927814327487,-1.0355761147660805
2014-06-01,533.0,52.0,10.25,161,6.699883333333332,4.415266465643274,-0.8651497989766064
2014-07-01,1345.0,54.0,24.9074,162,6.699883333333332,19.469933570906434,-1.2624169042397675
2014-08-01,563.0,43.0,13.093,163,6.699883333333332,9.969649360380119,-3.5765326937134514
2014-09-01,284.0,36.0,7.8889,164,6.602662499999999,1.090366904239766,0.19587059576023447
2014-10-01,6.0,2.0,3.0,165,6.575833333333333,-6.36395831505848,2.7881249817251472
2014-11-01,0.0,0.0,0.0,166,6.696512499999999,-7.283924981725146,0.5874124817251474
2014-12-01,0.0,0.0,0.0,167,6.736383333333333,-7.293901955409357,0.5575186220760235
2015-01-01,0.0,0.0,0.0,168,6.650083333333333,-7.321386604532164,0.6713032711988314
2015-02-01,0.0,0.0,0.0,169,6.644187499999999,-7.327163797514621,0.6829762975146219
2015-03-01,0.0,0.0,0.0,170,6.687270833333333,-5.184103051900585,-1.5031677814327482
2015-04-01,525.0,45.0,11.6667,171,6.5353666666666665,2.544829623538012,2.586503709795322
2015-05-01,457.0,45.0,10.1556,172,6.4103666666666665,3.2843927814327487,0.4608405519005845
2015-06-01,460.0,46.0,10.0,173,6.4103666666666665,4.415266465643274,-0.8256331323099406
2015-07-01,1339.0,58.0,23.0862,174,6.4103666666666665,19.469933570906434,-2.7941002375730974
2015-08-01,650.0,44.0,14.7727,175,6.4103666666666665,9.969649360380119,-1.6073160270467852
2015-09-01,268.0,37.0,7.2432,176,6.4103666666666665,1.090366904239766,-0.2575335709064326
2015-10-01,0.0,0.0,0.0,177,6.139879166666667,-6.36395831505848,0.2240791483918132
2015-11-01,0.0,0.0,0.0,178,5.8635416666666655,-7.283924981725146,1.4203833150584808
2015-12-01,0.0,0.0,0.0,179,5.737775,-7.293901955409357,1.5561269554093569
2016-01-01,0.0,0.0,0.0,180,5.585716666666666,-7.321386604532164,1.7356699378654978
2016-02-01,0.0,0.0,0.0,181,5.614916666666667,-7.327163797514621,1.7122471308479543
2016-03-01,0.0,0.0,0.0,182,5.6678999999999995,-5.184103051900585,-0.48379694809941487
2016-04-01,207.0,40.0,5.175,183,5.742874999999999,2.544829623538012,-3.112704623538011
2016-05-01,661.0,66.0,10.0152,184,5.826208333333333,3.2843927814327487,0.9045988852339186
2016-06-01,292.0,41.0,7.122,185,5.826208333333333,4.415266465643274,-3.119474798976607
2016-07-01,1205.0,54.0,22.3148,186,5.826208333333333,19.469933570906434,-2.981341904239766
2016-08-01,796.0,49.0,16.2449,187,5.826208333333333,9.969649360380119,0.4490423062865485
2016-09-01,331.0,47.0,7.0426,188,6.0067625,1.090366904239766,-0.05452940423976549
2016-10-01,2.0,1.0,2.0,189,6.3512208333333335,-6.36395831505848,2.0127374817251464
2016-11-01,0.0,0.0,0.0,190,6.446095833333334,-7.283924981725146,0.8378291483918128
2016-12-01,0.0,0.0,0.0,191,6.556508333333333,-7.293901955409357,0.7373936220760235
2017-01-01,0.0,0.0,0.0,192,6.793008333333333,-7.321386604532164,0.5283782711988314
2017-02-01,0.0,0.0,0.0,193,6.683929166666666,-7.327163797514621,0.6432346308479548
2017-03-01,13.0,3.0,4.3333,194,6.538933333333333,-5.184103051900585,2.9784697185672524
2017-04-01,419.0,46.0,9.1087,195,6.476741666666666,2.544829623538012,0.08712870979532239
2017-05-01,443.0,53.0,8.3585,196,6.393408333333333,3.2843927814327487,-1.3193011147660827
2017-06-01,640.0,56.0,11.4286,197,6.393408333333333,4.415266465643274,0.619925201023392
2017-07-01,1350.0,57.0,23.6842,198,6.393408333333333,19.469933570906434,-2.179141904239767
2017-08-01,809.0,66.0,12.2576,199,6.393408333333333,9.969649360380119,-4.105457693713452
2017-09-01,302.0,40.0,7.55,200,6.212854166666666,1.090366904239766,0.24677892909356758
2017-10-01,0.0,0.0,0.0,201,5.996520833333333,-6.36395831505848,0.3674374817251467
2017-11-01,0.0,0.0,0.0,202,6.2206874999999995,-7.283924981725146,1.0632374817251469
2017-12-01,0.0,0.0,0.0,203,6.704441666666667,-7.293901955409357,0.5894602887426901
2018-01-01,0.0,0.0,0.0,204,7.4873625,-7.321386604532164,-0.16597589546783542
2018-02-01,0.0,0.0,0.0,205,8.343033333333333,-7.327163797514621,-1.0158695358187115
2018-03-01,0.0,0.0,0.0,206,8.6863875,-5.184103051900585,-3.5022844480994157
2018-04-01,363.0,44.0,8.25,207,8.816516666666667,2.544829623538012,-3.1113462902046787
2018-05-01,1051.0,72.0,14.5972,208,8.899849999999999,3.2843927814327487,2.412957218567253
2018-06-01,1008.0,60.0,16.8,209,8.899849999999999,4.415266465643274,3.4848835343567277
2018-07-01,2523.0,68.0,37.1029,210,8.899849999999999,19.469933570906434,8.733116429093563
2018-08-01,1085.0,56.0,19.375,211,8.899849999999999,9.969649360380119,0.505500639619882
2018-09-01,451.0,52.0,8.6731,212,9.399849999999999,1.090366904239766,-1.817116904239765
2018-10-01,8.0,4.0,2.0,213,9.988045833333333,-6.36395831505848,-1.6240875182748526
2018-11-01,0.0,0.0,0.0,214,9.825254166666667,-7.283924981725146,-2.541329184941521
2018-12-01,0.0,0.0,0.0,215,9.327625,-7.293901955409357,-2.0337230445906425
2019-01-01,0.0,0.0,0.0,216,8.674233333333333,-7.321386604532164,-1.3528467288011692
2019-02-01,0.0,0.0,0.0,217,8.140745833333332,-7.327163797514621,-0.8135820358187109
2019-03-01,24.0,2.0,12.0,218,8.012091666666665,-5.184103051900585,9.172011385233919
2019-04-01,622.0,60.0,10.3667,219,8.031008333333332,2.544829623538012,-0.2091379568713445
2019-05-01,583.0,68.0,8.5735,220,8.051841666666666,3.2843927814327487,-2.762734448099416
2019-06-01,729.0,67.0,10.8806,221,8.051841666666666,4.415266465643274,-1.586508132309941
2019-07-01,2406.0,88.0,27.3409,222,8.051841666666666,19.469933570906434,-0.18087523757309754
2019-08-01,1274.0,78.0,16.3333,223,8.051841666666666,9.969649360380119,-1.6881910270467841
2019-09-01,509.0,59.0,8.6271,224,7.843508333333333,1.090366904239766,-0.30677523757309877
2019-10-01,5.0,2.0,2.5,225,7.7052125,-6.36395831505848,1.15874581505848
2019-11-01,0.0,0.0,0.0,226,7.7473875,-7.283924981725146,-0.46346251827485396
2019-12-01,0.0,0.0,0.0,227,7.855908333333334,-7.293901955409357,-0.5620063779239768
2020-01-01,0.0,0.0,0.0,228,8.032774999999999,-7.321386604532164,-0.7113883954678348
2020-02-01,0.0,0.0,0.0,229,8.014304166666667,-7.327163797514621,-0.6871403691520461
2020-03-01,14.0,2.0,7.0,230,7.960016666666665,-5.184103051900585,4.224086385233919
2020-04-01,253.0,21.0,12.0476,231,7.985516666666666,2.544829623538012,1.517253709795321
2020-05-01,332.0,42.0,7.9048,232,8.00635,3.2843927814327487,-3.3859427814327483
2020-06-01,736.0,52.0,14.1538,233,8.00635,4.415266465643274,1.732183534356727
2020-07-01,1812.0,64.0,28.3125,234,,19.469933570906434,
2020-08-01,731.0,49.0,14.9184,235,,9.969649360380119,
2020-09-01,402.0,46.0,8.7391,236,,1.090366904239766,
2020-10-01,9.0,3.0,3.0,237,,-6.36395831505848,
2020-11-01,0.0,0.0,0.0,238,,-7.283924981725146,
2020-12-01,0.0,0.0,0.0,239,,-7.293901955409357,
